Country Name,Country Code,Population 2020
Afghanistan,AFG,38928341
Africa Eastern and Southern,AFE,677243299
Africa Western and Central,AFW,458803476
Albania,ALB,2837743
Algeria,DZA,43851043
American Samoa,ASM,55197
Andorra,AND,77265
Angola,AGO,32866268
Antigua and Barbuda,ATG,97928
Arab World,ARB,436080728
Argentina,ARG,45376763
Armenia,ARM,2963234
Aruba,ABW,106766
Australia,AUS,25687041
Austria,AUT,8917205
Azerbaijan,AZE,10110116
"Bahamas, The",BHS,393248
Bahrain,BHR,1701583
Bangladesh,BGD,164689383
Barbados,BRB,287371
Belarus,BLR,9398861
Belgium,BEL,11555997
Belize,BLZ,397621
Benin,BEN,12123198
Bermuda,BMU,63903
Bhutan,BTN,771612
Bolivia,BOL,11673029
Bosnia and Herzegovina,BIH,3280815
Botswana,BWA,2351625
Brazil,BRA,212559409
British Virgin Islands,VGB,30237
Brunei Darussalam,BRN,437483
Bulgaria,BGR,6927288
Burkina Faso,BFA,20903278
Burundi,BDI,11890781
Cabo Verde,CPV,555988
Cambodia,KHM,16718971
Cameroon,CMR,26545864
Canada,CAN,38005238
Caribbean small states,CSS,7442291
Cayman Islands,CYM,65720
Central African Republic,CAF,4829764
Central Europe and the Baltics,CEB,102246330
Chad,TCD,16425859
Channel Islands,CHI,173859
Chile,CHL,19116209
China,CHN,1402112000
Colombia,COL,50882884
Comoros,COM,869595
"Congo, Dem. Rep.",COD,89561404
"Congo, Rep.",COG,5518092
Costa Rica,CRI,5094114
Cote d'Ivoire,CIV,26378275
Croatia,HRV,4047200
Cuba,CUB,11326616
Curacao,CUW,155014
Cyprus,CYP,1207361
Czech Republic,CZE,10698896
Denmark,DNK,5831404
Djibouti,DJI,988002
Dominica,DMA,71991
Dominican Republic,DOM,10847904
Early-demographic dividend,EAR,3332105361
East Asia & Pacific,EAS,2352037717
East Asia & Pacific (excluding high income),EAP,2105003391
East Asia & Pacific (IDA & IBRD countries),TEA,2079198305
Ecuador,ECU,17643060
"Egypt, Arab Rep.",EGY,102334403
El Salvador,SLV,6486201
Equatorial Guinea,GNQ,1402985
Eritrea,ERI,..
Estonia,EST,1331057
Eswatini,SWZ,1160164
Ethiopia,ETH,114963583
Euro area,EMU,342949773
Europe & Central Asia,ECS,923489941
Europe & Central Asia (excluding high income),ECA,420249459
Europe & Central Asia (IDA & IBRD countries),TEC,462247461
European Union,EUU,447794691
Faroe Islands,FRO,48865
Fiji,FJI,896444
Finland,FIN,5530719
Fragile and conflict affected situations,FCS,930006546
France,FRA,67391582
French Polynesia,PYF,280904
Gabon,GAB,2225728
"Gambia, The",GMB,2416664
Georgia,GEO,3714000
Germany,DEU,83240525
Ghana,GHA,31072945
Gibraltar,GIB,33691
Greece,GRC,10715549
Greenland,GRL,56367
Grenada,GRD,112519
Guam,GUM,168783
Guatemala,GTM,16858333
Guinea,GIN,13132792
Guinea-Bissau,GNB,1967998
Guyana,GUY,786559
Haiti,HTI,11402533
Heavily indebted poor countries (HIPC),HPC,823480038
High income,HIC,1214930230
Honduras,HND,9904608
"Hong Kong SAR, China",HKG,7481800
Hungary,HUN,9749763
IBRD only,IBD,..
Iceland,ISL,366425
IDA & IBRD total,IBT,6562212357
IDA blend,IDB,..
IDA only,IDX,..
IDA total,IDA,..
India,IND,1380004385
Indonesia,IDN,273523621
"Iran, Islamic Rep.",IRN,83992953
Iraq,IRQ,40222503
Ireland,IRL,4994724
Isle of Man,IMN,85032
Israel,ISR,9216900
Italy,ITA,59554023
Jamaica,JAM,2961161
Japan,JPN,125836021
Jordan,JOR,10203140
Kazakhstan,KAZ,18754440
Kenya,KEN,53771300
Kiribati,KIR,119446
"Korea, Dem. People's Rep.",PRK,25778815
"Korea, Rep.",KOR,51780579
Kosovo,XKX,1775378
Kuwait,KWT,4270563
Kyrgyz Republic,KGZ,6591600
Lao PDR,LAO,7275556
Late-demographic dividend,LTE,2307887395
Latin America & Caribbean,LCN,652276325
Latin America & Caribbean (excluding high income),LAC,595242966
Latin America & the Caribbean (IDA & IBRD countries),TLA,636492840
Latvia,LVA,1901548
Least developed countries: UN classification,LDC,1057438163
Lebanon,LBN,6825442
Lesotho,LSO,2142252
Liberia,LBR,5057677
Libya,LBY,6871287
Liechtenstein,LIE,38137
Lithuania,LTU,2794700
Low & middle income,LMY,6509474374
Low income,LIC,665149035
